name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
Plane.010,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.011,1,714,626,Audi e-tron GT quattro Black,0
Plane.011,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.012,1,128,110,Audi e-tron GT quattro Black,0
Plane.012,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.013,1,234,206,Audi e-tron GT quattro Black,0
Plane.013,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.014,1,675,622,Audi e-tron GT quattro Black,0
Plane.014,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.010,1,582,522,Audi e-tron GT quattro Black,0
Plane.015,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.016,1,443,384,Audi e-tron GT quattro Black,0
Plane.016,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.019,1,116,92,Audi e-tron GT quattro Black,0
Plane.017,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.020,1,624,552,Audi e-tron GT quattro Black,0
Plane.018,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.022,1,336,258,Audi e-tron GT quattro Black,0
Plane.019,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.023,1,320,276,Audi e-tron GT quattro Black,0
Plane.020,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.044,1,64,42,Audi e-tron GT quattro Black,0
Plane.021,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.045,1,240,168,Audi e-tron GT quattro Black,0
Plane.022,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.017,1,10292,10800,Shoes,0
Plane.023,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.025,1,132,126,No Parking Sign,5
Plane.024,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.040,1,827,726,Audi e-tron GT quattro Black,0
Plane.025,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.043,1,778,662,Audi e-tron GT quattro Black,0
Plane.026,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.046,1,352,308,Audi e-tron GT quattro Black,0
Plane.027,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.027,1,818,738,Audi e-tron GT quattro Black,0
Plane.028,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.047,1,136,98,Audi e-tron GT quattro Black,0
Plane.029,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.032,1,545,512,Cast iron sewer hatch,0
Plane.030,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.049,1,643,560,Audi e-tron GT quattro Black,0
Plane.031,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.052,1,48,40,Audi e-tron GT quattro Black,0
Plane.032,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.053,1,530,462,Audi e-tron GT quattro Black,0
Plane.033,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.054,1,1144,1052,Audi e-tron GT quattro Black,0
Plane.034,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.056,1,1874,1752,Audi e-tron GT quattro Black,0
Plane.035,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.066,1,266,218,Audi e-tron GT quattro Black,0
Plane.036,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.018,1,180,144,Audi e-tron GT quattro Black,0
Plane.037,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.063,1,979,886,Audi e-tron GT quattro Black,0
Plane.038,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.061,1,226,190,Audi e-tron GT quattro Black,0
Plane.039,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.067,1,32,30,Audi e-tron GT quattro Black,0
Plane.040,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.015,1,162,128,Audi e-tron GT quattro Black,0
Plane.041,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.021,1,68,48,Audi e-tron GT quattro Black,0
