kind,name,filepath,absolute_path,exists,packed,source
IMAGE,DG100126_diffuse_1001.png.009,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.010,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.011,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.012,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.013,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.014,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,False,True,FILE
IMAGE,DG100126_normal_1001.jpg,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,False,True,FILE
IMAGE,DG100126_normal_1001.jpg.003,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,False,True,FILE
IMAGE,DG100126_normal_1001.jpg.004,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_normal_1001.jpg,False,True,FILE
IMAGE,Dirt_Ground_ambientocclusion.jpg,//assets\materials\dirt-ground-mate_48ef0a06-897c-427c-b369-bc9b5d97018e\textures_2k\Dirt_Ground_ambientocclusion.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\dirt-ground-mate_48ef0a06-897c-427c-b369-bc9b5d97018e\textures_2k\Dirt_Ground_ambientocclusion.jpg,False,True,FILE
IMAGE,Dirt_Ground_basecolor.jpg,//assets\materials\dirt-ground-mate_48ef0a06-897c-427c-b369-bc9b5d97018e\textures_2k\Dirt_Ground_basecolor.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\dirt-ground-mate_48ef0a06-897c-427c-b369-bc9b5d97018e\textures_2k\Dirt_Ground_basecolor.jpg,False,True,FILE
