object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
Plane.043,OTHER,Plane.026,1,42,61,20,42,42,0,,,0,0,Audi e-tron GT quattro Black,Material.003,False,False
Plane.045,OTHER,Plane.030,1,84,143,60,46,46,0,,,0,0,Audi e-tron GT quattro Black,Material.003,False,False
Plane.047,OTHER,Plane.028,1,1040,1950,910,260,260,0,,,0,0,Audi e-tron GT quattro Black,Material.009,False,False
Plane.048,OTHER,Plane.029,1,98,146,50,94,94,0,,,0,0,Audi e-tron GT quattro Black,Material.010,False,False
Plane.049,OTHER,Plane.031,1,3136,5980,2847,544,544,0,,,0,0,Audi e-tron GT quattro Black,Material.006 | Material.007,False,False
Plane.050,OTHER,Plane.037,1,440,819,382,110,110,0,,,0,0,Audi e-tron GT quattro Black,Material.008,False,False
Plane.051,OTHER,Plane.035,1,656,1206,558,180,180,0,,,0,0,Audi e-tron GT quattro Black,Material.008,False,False
Plane.052,OTHER,Plane.041,1,688,1290,602,172,172,0,,,0,0,Audi e-tron GT quattro Black,Material.008,False,False
Plane.053,OTHER,Plane.042,1,564,1028,462,184,184,0,,,0,0,Audi e-tron GT quattro Black,Material.009,False,False
Plane.054,OTHER,Plane.038,1,392,584,194,392,392,0,,,0,0,Audi e-tron GT quattro Black,Material.007,False,False
Plane.055,OTHER,Plane.048,1,72,102,36,72,72,0,,,0,0,Audi e-tron GT quattro Black,Material.008,False,False
Plane.056,OTHER,Plane.050,1,772,1514,744,68,68,0,,,0,0,Audi e-tron GT quattro Black,Material.014,False,False
Plane.057,OTHER,Plane.058,1,282,420,140,282,282,0,,,0,0,Audi e-tron GT quattro Black,Material.017,False,False
Plane.058,OTHER,Plane.057,1,128,240,112,32,32,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.059,OTHER,Plane.059,1,528,1008,480,96,96,0,,,0,0,Audi e-tron GT quattro Black,Material.016,False,False
Plane.060,OTHER,Plane.064,1,162,288,128,64,64,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.061,OTHER,Plane.062,1,120,206,88,60,60,0,,,0,0,Audi e-tron GT quattro Black,Glass.001,False,False
Plane.062,OTHER,Plane.065,1,368,684,326,64,64,0,,,0,0,Audi e-tron GT quattro Black,Material.011,False,False
Plane.063,OTHER,Plane.033,1,72,124,54,32,32,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.064,OTHER,Plane.034,1,48,82,36,22,22,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.065,OTHER,Plane.039,1,156,292,140,26,26,0,,,0,0,Audi e-tron GT quattro Black,Material.011,False,False
Plane.066,OTHER,Plane.068,1,192,336,144,96,96,0,,,0,0,Audi e-tron GT quattro Black,Material.012,False,False
Plane.067,OTHER,Plane.060,1,240,428,192,88,88,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.068,OTHER,Plane.070,1,192,336,144,96,96,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.069,OTHER,Plane.071,1,36,50,16,36,36,0,,,0,0,Audi e-tron GT quattro Black,Material.015,False,False
Plane.070,OTHER,Plane.073,1,2016,3936,1920,192,192,0,,,0,0,Audi e-tron GT quattro Black,,False,False
